artifact_id,relative_path,filename,extension,size_bytes,sha256,category,registry_note
LOCAL_0001,tss_empleos_cotizantes_2003_2026.csv,tss_empleos_cotizantes_2003_2026.csv,.csv,11734,65963afc4c7556560bcc59a8733f0fbc3fbc940d9f657039a518b478f4a89bce,generated_or_processed_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0002,Recaudación ITBIS.xlsx,Recaudación ITBIS.xlsx,.xlsx,264477,307f74bc887cc934261789e0b7b161efc51081e403986e56b14277242a1e7f99,local_source_or_data_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0003,tss_empleadores_cotizantes_2003_2026.csv,tss_empleadores_cotizantes_2003_2026.csv,.csv,5387,d416981c40352b77aa57ae874176a145c534f97c54995f6a3d9689f78a12137c,generated_or_processed_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0004,one_ipc_transables_no_transables_1999_2026.xlsx,one_ipc_transables_no_transables_1999_2026.xlsx,.xlsx,106093,e4506e83d967085836cc5b272a38a5bf502d00ecedf031101e446d2ab3dced7e,local_source_or_data_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0005,Operaciones Totales ITBIS.xlsx,Operaciones Totales ITBIS.xlsx,.xlsx,235700,7d48dcb5786a403d38b55b0021643b66efd149a1e19ff7d74e9b12d1e6499142,local_source_or_data_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0006,one_ipc_por_grupo_bienes_servicios_2011_2026.xlsx,one_ipc_por_grupo_bienes_servicios_2011_2026.xlsx,.xlsx,78716,16d10c1a829e987e1c013c526a7051b64c31c9df2bf7a00df0af656b6d5e3ac7,local_source_or_data_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0007,one_ipc_general_mensual_2010_2026.xlsx,one_ipc_general_mensual_2010_2026.xlsx,.xlsx,27337,730c6fe04e14460a8c0db928026d7ab5e51272168850a6f9cf0d67bde91a0941,local_source_or_data_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0008,one_ipc_subyacente_mensual_2000_2026.xlsx,one_ipc_subyacente_mensual_2000_2026.xlsx,.xlsx,40465,65131f0a7c4fdb7c9b7c2898c7ae644e02b9a28a5ebd17bbd4241a43535fdd08,local_source_or_data_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0009,boletin_pobreza_monetaria_2025.pdf,boletin_pobreza_monetaria_2025.pdf,.pdf,2066072,8bda4520e5aba6f80ff8a3fdc54793b44dce123ca06346ba544a07e821ae224c,local_source_or_data_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0010,one_ipc_por_region_2011_2026.xlsx,one_ipc_por_region_2011_2026.xlsx,.xlsx,39049,ca37d51ff0d5aad951990f5c453fd9582bdf15176f28c1ea01391f16c2ad7d4a,local_source_or_data_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0011,one_ipc_por_articulos_2020_2026.xlsx,one_ipc_por_articulos_2020_2026.xlsx,.xlsx,398538,54322e74a5252effcdb374bc9f0ad70110e9b7c5fe1474e3a5f67460c762b02e,local_source_or_data_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0012,one_ipc_anual_1947_2025.xlsx,one_ipc_anual_1947_2025.xlsx,.xlsx,33063,e771bf058bbed250f02bbacba78b7a8290ef6436e1dd92b161197b7d4a517c11,local_source_or_data_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0013,Operaciones Gravadas ITBIS.xlsx,Operaciones Gravadas ITBIS.xlsx,.xlsx,229947,d27703c3b0941e5462e6d858b68bc63b6231e7d0866e2bff2a0801c8032f807e,local_source_or_data_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0014,gemini_slice1a_audit_bundle.zip,gemini_slice1a_audit_bundle.zip,.zip,65659,1c513beb6f09134503f443247c5b33ac12b354102b5b8b2d528900148ac635bc,generated_or_processed_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0015,one_ipc_por_quintiles_2020_2026.xlsx,one_ipc_por_quintiles_2020_2026.xlsx,.xlsx,28691,532b7e623e2e3e0c9dbbebec9f54d057a9d7cc89189da4761868bde51be98a97,local_source_or_data_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0016,slice1b_results/slice1b_comercio_monthly_detail.csv,slice1b_comercio_monthly_detail.csv,.csv,3977,a7b62aa188cbe0702bdb2dc5b5019f7b6002251b5152bd361c62045903bb163a,generated_or_processed_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0017,slice1b_results/slice1b_comercio_subsector_decomposition.csv,slice1b_comercio_subsector_decomposition.csv,.csv,593,eb2b8b1d9b1293f63450fea1f1919fd9380167b54c2d7ea797d0096d35a92742,generated_or_processed_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0018,slice1b_results/slice1b_comercio_ytd.csv,slice1b_comercio_ytd.csv,.csv,572,0ec35d8c0003cbd78925898475fa544e5193691b92a39d32ed03e06bafcca827,generated_or_processed_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0019,gemini_slice1a_audit_bundle/Operaciones Totales ITBIS.manifest.json,Operaciones Totales ITBIS.manifest.json,.json,2819,c8e92ba39d705d9d31fcf241aa4ff23378a38af1764f4b8dab0162f37b93c147,generated_or_processed_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0020,gemini_slice1a_audit_bundle/Operaciones Totales ITBIS__2026.csv,Operaciones Totales ITBIS__2026.csv,.csv,11373,1e38b259221d53d426a03d815a50215bee8d001cd7cf41a196ec5a1c56cca62e,generated_or_processed_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0021,gemini_slice1a_audit_bundle/Operaciones Gravadas ITBIS.manifest.json,Operaciones Gravadas ITBIS.manifest.json,.json,2846,e0edbe94f00a5e0bfe6eb6f6c879c563f0f1101f33843a3d5bfeffde3e197b98,generated_or_processed_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0022,gemini_slice1a_audit_bundle/Operaciones Totales ITBIS__2025.schema.json,Operaciones Totales ITBIS__2025.schema.json,.json,124005,14dcbeb8e8ec66836f27d8bdc12666283f435930c6b8d4a717af0efc7b496de4,generated_or_processed_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0023,gemini_slice1a_audit_bundle/Operaciones Gravadas ITBIS__2025.schema.json,Operaciones Gravadas ITBIS__2025.schema.json,.json,110382,5f4a2bd38487ab64103865bb5e4efaa88c626f82ee156d824e28c29fec01d806,generated_or_processed_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
LOCAL_0024,gemini_slice1a_audit_bundle/Operaciones Gravadas ITBIS__2026.csv,Operaciones Gravadas ITBIS__2026.csv,.csv,10903,5c54e2f7840560dd57367cd5e6098dc307f4206af577041bf8f06bae6ef548b0,generated_or_processed_artifact,Local artifact catalog entry; source URL may appear separately in source_url_registry_v1.csv.
