source_id,url,domain,source_type,description,why_relevant,occurrence_count_in_auto_registry,first_artifact_path,first_line_number,public_note
KEY_SRC_0001,http://anda.one.gob.do,anda.one.gob.do,official_dominican_source,"Oficina Nacional de Estadística / household, labor, business or statistical data",Primary or official Dominican source candidate.,1,slice5b_current_household_trade_down_source_discovery/sources/acquisition_v1c/ANDA_CATALOG_ROOT.html,97,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0002,https://anda.one.gob.do/,anda.one.gob.do,official_dominican_source,"Oficina Nacional de Estadística / household, labor, business or statistical data",Primary or official Dominican source candidate.,7,slice12a_targeted_external_missing_data_acquisition/sources/S12A_010_eb2d76d1_datos-y-estadisticas.html,14965,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0003,"https://anda.one.gob.do/,https://anda.one.gob.do/,,20,official_domain_or_path",anda.one.gob.do,official_dominican_source,"Oficina Nacional de Estadística / household, labor, business or statistical data",Primary or official Dominican source candidate.,1,slice5a_household_consumption_trade_down/outputs/slice5a_discovered_links_v1.csv,621,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0004,https://anda.one.gob.do/index.php,anda.one.gob.do,official_dominican_source,"Oficina Nacional de Estadística / household, labor, business or statistical data",Primary or official Dominican source candidate.,2,slice5b_current_household_trade_down_source_discovery/sources/acquisition_v1c/ANDA_CATALOG_ROOT.html,44,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0005,https://anda.one.gob.do/index.php/,anda.one.gob.do,official_dominican_source,"Oficina Nacional de Estadística / household, labor, business or statistical data",Primary or official Dominican source candidate.,1,slice5b_current_household_trade_down_source_discovery/sources/acquisition_v1c/ANDA_CATALOG_ROOT.html,212,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0006,https://anda.one.gob.do/index.php/anda,anda.one.gob.do,official_dominican_source,"Oficina Nacional de Estadística / household, labor, business or statistical data",Primary or official Dominican source candidate.,1,slice5b_current_household_trade_down_source_discovery/sources/acquisition_v1c/ANDA_CATALOG_ROOT.html,111,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0007,https://anda.one.gob.do/index.php/auth/login,anda.one.gob.do,official_dominican_source,"Oficina Nacional de Estadística / household, labor, business or statistical data",Primary or official Dominican source candidate.,1,slice5b_current_household_trade_down_source_discovery/sources/acquisition_v1c/ANDA_CATALOG_ROOT.html,89,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0008,https://anda.one.gob.do/index.php/catalog,anda.one.gob.do,official_dominican_source,"Oficina Nacional de Estadística / household, labor, business or statistical data",Primary or official Dominican source candidate.,3,slice5b_official_source_acquisition_probe_v1c.py,44,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0009,"https://apibcrd.bancentral.gov.do/api/services/app/MacroVariables/Inflacion,,/api/services/app/MacroVariables/Inflacion,,,,-30,REJECT_ENDPOINT_FALSE_POSITIVE_NOT_ENCFT_INCOME,reject,Endpoint",apibcrd.bancentral.gov.do,official_dominican_source,"Banco Central de la República Dominicana / labor, macro, prices or statistical data",Primary or official Dominican source candidate.,2,slice9b_strict_bcrd_encft_dynamic_target_review/outputs/slice9b_strict_endpoint_review.csv,356,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0010,"https://apibcrd.bancentral.gov.do/main.6a100f7304c4c093f83e.js,no,yes,,,https://apibcrd.bancentral.gov.do/api/services/app/MacroVariables/Inflacion",apibcrd.bancentral.gov.do,official_dominican_source,"Banco Central de la República Dominicana / labor, macro, prices or statistical data",Primary or official Dominican source candidate.,2,slice9b_strict_bcrd_encft_dynamic_target_review/outputs/slice9b_strict_endpoint_review.csv,356,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0011,"https://apibcrd.bancentral.gov.do/,GET,/home/yenksid/Downloads/dr_economic_research_sources/raw/slice9c_bcrd_context_endpoint_contract_probe/sources/8d6b505d25_index.html,200,text/html,1197,no,,0,0,0,NO_CONTRACT_OR_ENCFT_INCOME_SIGNAL,reject,API",apibcrd.bancentral.gov.do,official_dominican_source,"Banco Central de la República Dominicana / labor, macro, prices or statistical data",Primary or official Dominican source candidate.,2,slice10a_direct_trade_down_source_discovery/outputs/slice10a_trade_down_rejected_sources.csv,1860,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0012,"https://apibcrd.bancentral.gov.do/,https://apibcrd.bancentral.gov.do/,,20,official_domain_or_path",apibcrd.bancentral.gov.do,official_dominican_source,"Banco Central de la República Dominicana / labor, macro, prices or statistical data",Primary or official Dominican source candidate.,1,slice5a_household_consumption_trade_down/outputs/slice5a_discovered_links_v1.csv,73,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0013,https://apibcrd.bancentral.gov.do/api/services/app/MacroVariables/Inflacion,apibcrd.bancentral.gov.do,official_dominican_source,"Banco Central de la República Dominicana / labor, macro, prices or statistical data",Primary or official Dominican source candidate.,2,slice9d_strict_bcrd_contract_false_positive_audit/outputs/slice9d_strict_endpoint_audit.csv,132,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0014,"https://apibcrd.bancentral.gov.do/api/services/app/MacroVariables/Inflacion,https://apibcrd.bancentral.gov.do/api/services/app/MacroVariables/Inflacion,https://apibcrd.bancentral.gov.do/main.6a100f7304c4c093f83e.js,30,REJECT_ENDPOINT_NO_STRICT_CONTRACT_SIGNAL,reject,Endpoint",apibcrd.bancentral.gov.do,official_dominican_source,"Banco Central de la República Dominicana / labor, macro, prices or statistical data",Primary or official Dominican source candidate.,2,slice9d_strict_bcrd_contract_false_positive_audit/outputs/slice9d_strict_endpoint_audit.csv,132,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0015,"https://apibcrd.bancentral.gov.do/,https://www.bancentral.gov.do/Publicaciones/Consulta,inline_or_raw_endpoint_hint,20,no,no,yes",apibcrd.bancentral.gov.do,official_dominican_source,"Banco Central de la República Dominicana / labor, macro, prices or statistical data",Primary or official Dominican source candidate.,2,slice10a_direct_trade_down_source_discovery/outputs/slice10a_trade_down_rejected_sources.csv,1750,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0016,"https://apibcrd.bancentral.gov.do/api/TokenAuth/Authenticate,https://apibcrd.bancentral.gov.do/main.6a100f7304c4c093f83e.js,inline_or_raw_endpoint_hint,20,no,no,yes",apibcrd.bancentral.gov.do,official_dominican_source,"Banco Central de la República Dominicana / labor, macro, prices or statistical data",Primary or official Dominican source candidate.,2,slice10a_direct_trade_down_source_discovery/outputs/slice10a_trade_down_rejected_sources.csv,1750,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0017,"https://apibcrd.bancentral.gov.do/api/TokenAuth/ExternalAuthenticate,https://apibcrd.bancentral.gov.do/main.6a100f7304c4c093f83e.js,inline_or_raw_end",apibcrd.bancentral.gov.do,official_dominican_source,"Banco Central de la República Dominicana / labor, macro, prices or statistical data",Primary or official Dominican source candidate.,1,slice10a_direct_trade_down_source_discovery/outputs/slice10a_trade_down_rejected_sources.csv,1750,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0018,"https://apibcrd.bancentral.gov.do/,,/,,,,80,STRICT_ENDPOINT_CONTEXT_ENCFT_DATA_OR_API,context_review",apibcrd.bancentral.gov.do,official_dominican_source,"Banco Central de la República Dominicana / labor, macro, prices or statistical data",Primary or official Dominican source candidate.,3,slice10a_direct_trade_down_source_discovery/outputs/slice10a_trade_down_rejected_sources.csv,625,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0019,"https://apibcrd.bancentral.gov.do/,/home/yenksid/Downloads/dr_economic_research_sources/raw/slice9a_bcrd_encft_dynamic_table_discovery/sources/ae62ba5792_index.html,FETCH_OK,200,text/html,1197,,yes",apibcrd.bancentral.gov.do,official_dominican_source,"Banco Central de la República Dominicana / labor, macro, prices or statistical data",Primary or official Dominican source candidate.,1,slice9a_bcrd_encft_dynamic_table_discovery/outputs/slice9a_fetch_manifest.csv,47,Key public bibliography entry selected from the larger local audit registry.
KEY_SRC_0020,"https://apibcrd.bancentral.gov.do/,/home/yenksid/Downloads/dr_economic_research_sources/raw/slice9a_bcrd_encft_dynamic_table_discovery/sources/ae62ba5792_index.html,ae62ba5792_index.html,.html,0,,0,0,0,0,2,no,DYNAMIC_SITE_RESOURCE_CONTEXT,context_only,text_cleaned,https://apibcrd.bancentral.gov.do/",apibcrd.bancentral.gov.do,official_dominican_source,"Banco Central de la República Dominicana / labor, macro, prices or statistical data",Primary or official Dominican source candidate.,1,slice9a_bcrd_encft_dynamic_table_discovery/outputs/slice9a_resource_audit.csv,46,Key public bibliography entry selected from the larger local audit registry.
