source_id,url,domain,source_type,access_type,http_status,availability_status,error,description
PROBLEM_SRC_0001,https://dgii.gov.do/estadisticas/informeRecauda,dgii.gov.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,DGII / tax and economic activity context
PROBLEM_SRC_0002,https://dgii.gov.do/estadisticas/informeRecaudacionMensual/Documents/2025/Recaudacion,dgii.gov.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,DGII / tax and economic activity context
PROBLEM_SRC_0003,https://dgii.gov.do/estadisticas/informeRecaudacionMensual/Documents/2026/Informe,dgii.gov.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,DGII / tax and economic activity context
PROBLEM_SRC_0004,https://gdc.bancentral.gov.do/Common/public/images/300x250.gif,gdc.bancentral.gov.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,"Banco Central de la República Dominicana / labor, macro, prices or statistical data"
PROBLEM_SRC_0005,https://gdc.bancentral.gov.do/Common/public/images/sef2019_300x250.gif,gdc.bancentral.gov.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,"Banco Central de la República Dominicana / labor, macro, prices or statistical data"
PROBLEM_SRC_0006,https://gdc.bancentral.gov.do/Common/public/noticias/Images/thumbs/bc_standart_portada.jpg,gdc.bancentral.gov.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,"Banco Central de la República Dominicana / labor, macro, prices or statistical data"
PROBLEM_SRC_0007,https://gdc.bancentral.gov.do/Common/public/noticias/Images/thumbs/bc_standart_portada.jpg,gdc.bancentral.gov.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,"Banco Central de la República Dominicana / labor, macro, prices or statistical data"
PROBLEM_SRC_0008,https://gdc.bancentral.gov.do/Common/public/noticias/Images/thumbs/bc_standart_portada.jpg,gdc.bancentral.gov.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,"Banco Central de la República Dominicana / labor, macro, prices or statistical data"
PROBLEM_SRC_0009,https://www.digepres.gob.do/estadisticas/estadisticas-de-los-gastos/,www.digepres.gob.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,DIGEPRES / budget execution and fiscal spending data
PROBLEM_SRC_0010,https://www.digepres.gob.do/publicaciones/informes/ejecucion-presupuestaria-2023/,www.digepres.gob.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,DIGEPRES / budget execution and fiscal spending data
PROBLEM_SRC_0011,https://www.digepres.gob.do/wp-content/uploads/2023/06/WhatsApp-Image-2023-06-26-at-3.07.22-PM-3-300x200.jpeg,www.digepres.gob.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,DIGEPRES / budget execution and fiscal spending data
PROBLEM_SRC_0012,https://www.digepres.gob.do/wp-content/uploads/2023/08/WhatsApp-Image-2023-08-11-at-2.55.05-PM-300x200.jpeg,www.digepres.gob.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,DIGEPRES / budget execution and fiscal spending data
PROBLEM_SRC_0013,https://www.digepres.gob.do/wp-content/uploads/2026/04/Inf,www.digepres.gob.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,DIGEPRES / budget execution and fiscal spending data
PROBLEM_SRC_0014,https://www.one.gob.do/catalogo-datos/ENHOGAR/ENHOGAR_2024_BD_PUB/BD_ENH24_HOGARES,www.one.gob.do,official_dominican_source,BROWSER_PAGE,404,BROKEN_OR_NOT_FOUND,HTTPError: 404,"Oficina Nacional de Estadística / household, labor, business or statistical data"
